epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,791.538,0.84631,0.50887,1.04836,0.91378,0.95184,0.97608,0.68014,1.02575,0.57954,1.12114,0.000848969,0.000848969,0.000848969
43,809.801,0.86501,0.50764,1.06108,0.96917,0.90371,0.96494,0.68054,1.00403,0.52724,1.10199,0.000834822,0.000834822,0.000834822
44,828.509,0.8584,0.5006,1.04993,0.95634,0.91572,0.96156,0.68297,1.04185,0.56698,1.11469,0.000820675,0.000820675,0.000820675
45,847.662,0.85302,0.5036,1.03505,0.91689,0.9673,0.9615,0.69973,0.9685,0.56357,1.09896,0.000806528,0.000806528,0.000806528
46,867.79,0.85948,0.50573,1.04552,0.91524,0.95002,0.95958,0.67527,1.00423,0.58646,1.09246,0.00079238,0.00079238,0.00079238
47,884.532,0.82608,0.48916,1.03519,0.95291,0.9323,0.96567,0.68136,1.02775,0.54982,1.10394,0.000778233,0.000778233,0.000778233
48,903.406,0.82871,0.48036,1.02981,0.93878,0.93625,0.9642,0.67504,1.03948,0.54245,1.13436,0.000764086,0.000764086,0.000764086
49,921.928,0.82112,0.48369,1.03605,0.92322,0.97071,0.96601,0.71327,0.91127,0.51477,1.09189,0.000749939,0.000749939,0.000749939
50,940.401,0.8295,0.49333,1.03908,0.96372,0.86292,0.94137,0.6873,0.96778,0.61492,1.1171,0.000735792,0.000735792,0.000735792
51,957.64,0.82954,0.48077,1.03327,0.94377,0.95722,0.96172,0.68215,0.98128,0.53323,1.0933,0.000721645,0.000721645,0.000721645
52,977.197,0.85579,0.4877,1.03549,0.95404,0.91284,0.96232,0.71515,0.89252,0.51403,1.05693,0.000707498,0.000707498,0.000707498
53,996.613,0.83034,0.47752,1.03495,0.938,0.91914,0.97464,0.71956,0.90994,0.50509,1.07702,0.000693351,0.000693351,0.000693351
54,1013.59,0.81489,0.46892,1.0376,0.94549,0.92351,0.98165,0.71795,0.9044,0.49348,1.07743,0.000679204,0.000679204,0.000679204
55,1031.04,0.80615,0.45781,1.02048,0.89959,0.96939,0.97615,0.71825,0.9014,0.50406,1.08046,0.000665057,0.000665057,0.000665057
56,1049.64,0.79945,0.46389,1.0258,0.93043,0.92345,0.96669,0.68501,0.99668,0.56576,1.12655,0.000650909,0.000650909,0.000650909
57,1069.22,0.82254,0.4728,1.0241,0.89431,0.95555,0.97347,0.67672,1.00966,0.56189,1.12785,0.000636762,0.000636762,0.000636762
58,1086.48,0.81985,0.47508,1.0311,0.92305,0.96829,0.97913,0.71358,0.94839,0.50432,1.09689,0.000622615,0.000622615,0.000622615
59,1105.11,0.80485,0.46038,1.02243,0.91537,0.94115,0.97463,0.72233,0.86385,0.50695,1.05425,0.000608468,0.000608468,0.000608468
60,1124.2,0.79049,0.44757,1.01646,0.955,0.88967,0.9719,0.72425,0.84381,0.53623,1.04116,0.000594321,0.000594321,0.000594321
61,1143.25,0.80672,0.45895,1.02016,0.93196,0.92675,0.97833,0.71472,0.90454,0.51897,1.06952,0.000580174,0.000580174,0.000580174
62,1160.11,0.79477,0.45424,1.02446,0.92119,0.94555,0.9747,0.71112,0.93666,0.5097,1.09472,0.000566027,0.000566027,0.000566027
63,1178.39,0.77802,0.44019,1.01538,0.91691,0.92104,0.97053,0.69702,0.9176,0.54916,1.07527,0.00055188,0.00055188,0.00055188
64,1196.5,0.78765,0.44462,1.01801,0.92089,0.90683,0.96338,0.69331,0.97796,0.55456,1.10561,0.000537733,0.000537733,0.000537733
65,1214.4,0.77611,0.43558,1.00973,0.92742,0.89608,0.95642,0.69309,0.91614,0.54078,1.08711,0.000523586,0.000523586,0.000523586
66,1231.23,0.77723,0.4334,1.01554,0.87838,0.9746,0.9721,0.70792,0.93912,0.51117,1.08964,0.000509438,0.000509438,0.000509438
67,1251.72,0.75846,0.42706,1.00616,0.90466,0.94826,0.97382,0.69099,0.99945,0.52325,1.11928,0.000495291,0.000495291,0.000495291
68,1270.44,0.74896,0.42448,1.00013,0.97132,0.90323,0.97915,0.721,0.93473,0.47933,1.08622,0.000481144,0.000481144,0.000481144
69,1289.11,0.76893,0.44227,1.01236,0.94089,0.91067,0.97351,0.72807,0.87649,0.48928,1.04888,0.000466997,0.000466997,0.000466997
70,1305.41,0.74379,0.42444,0.98681,0.94144,0.87911,0.97119,0.73088,0.85832,0.51635,1.05446,0.00045285,0.00045285,0.00045285
71,1323.59,0.76432,0.42484,1.00585,0.94308,0.90182,0.96771,0.73115,0.8652,0.52208,1.04753,0.000438703,0.000438703,0.000438703
72,1342.56,0.76094,0.42368,1.00442,0.85897,0.9548,0.96339,0.71844,0.88024,0.53359,1.05391,0.000424556,0.000424556,0.000424556
73,1360.09,0.7448,0.41787,0.99697,0.89687,0.90872,0.96539,0.71822,0.87574,0.52474,1.06172,0.000410409,0.000410409,0.000410409
74,1378.35,0.74352,0.41883,0.99895,0.90687,0.95582,0.97076,0.7234,0.84414,0.49683,1.05172,0.000396262,0.000396262,0.000396262
75,1397.88,0.74055,0.40527,0.99854,0.93697,0.93886,0.97931,0.74046,0.83428,0.4838,1.05508,0.000382115,0.000382115,0.000382115
76,1417.06,0.7358,0.41055,0.99968,0.92128,0.91579,0.97379,0.73461,0.86155,0.50312,1.07226,0.000367967,0.000367967,0.000367967
77,1435.05,0.73091,0.41719,0.98831,0.88954,0.9611,0.97915,0.73393,0.85903,0.4974,1.06268,0.00035382,0.00035382,0.00035382
78,1451.4,0.73494,0.4026,0.9933,0.96013,0.87529,0.97897,0.74077,0.83401,0.47927,1.06485,0.000339673,0.000339673,0.000339673
79,1469.42,0.71194,0.39511,0.98337,0.93356,0.92005,0.97947,0.73603,0.88143,0.49405,1.07504,0.000325526,0.000325526,0.000325526
80,1488.51,0.72706,0.39586,0.99923,0.94952,0.90881,0.97454,0.71286,0.9178,0.4968,1.07826,0.000311379,0.000311379,0.000311379
81,1505.85,0.71272,0.40053,0.97598,0.94546,0.91557,0.97431,0.72511,0.87518,0.50117,1.0676,0.000297232,0.000297232,0.000297232
82,1524.44,0.72764,0.39889,0.99513,0.92637,0.91685,0.97421,0.72103,0.86638,0.49293,1.0559,0.000283085,0.000283085,0.000283085
83,1544.4,0.73219,0.40294,0.98459,0.92824,0.91739,0.97207,0.72437,0.84385,0.49753,1.04702,0.000268938,0.000268938,0.000268938
84,1563.27,0.71087,0.39035,0.97815,0.93792,0.90933,0.97091,0.71154,0.90542,0.50599,1.06753,0.000254791,0.000254791,0.000254791
85,1581.05,0.71163,0.39002,0.98809,0.91849,0.92648,0.97156,0.72429,0.85296,0.49145,1.04447,0.000240644,0.000240644,0.000240644
86,1599.41,0.69884,0.38497,0.97607,0.90836,0.96615,0.96757,0.71696,0.87271,0.48747,1.05789,0.000226497,0.000226497,0.000226497
87,1618.83,0.70514,0.39449,0.9848,0.90818,0.94458,0.97544,0.7348,0.829,0.47063,1.04031,0.000212349,0.000212349,0.000212349
88,1636.87,0.68598,0.3891,0.97089,0.91871,0.93486,0.97479,0.72533,0.87632,0.47851,1.05182,0.000198202,0.000198202,0.000198202
89,1653.35,0.68209,0.39077,0.96762,0.92952,0.92597,0.9737,0.73411,0.83055,0.4744,1.03621,0.000184055,0.000184055,0.000184055
90,1672.04,0.70354,0.38448,0.97552,0.92052,0.93042,0.97332,0.74094,0.82002,0.47028,1.03043,0.000169908,0.000169908,0.000169908
91,1698.54,0.60905,0.32601,0.91881,0.8899,0.96154,0.97793,0.73261,0.84201,0.45734,1.04173,0.000155761,0.000155761,0.000155761
92,1717.22,0.60302,0.3232,0.92444,0.92551,0.92059,0.97843,0.7343,0.84128,0.46473,1.04573,0.000141614,0.000141614,0.000141614
93,1735.59,0.5886,0.31311,0.91478,0.94557,0.89833,0.9773,0.74081,0.83671,0.4671,1.04994,0.000127467,0.000127467,0.000127467
94,1751.94,0.60163,0.31697,0.92307,0.90912,0.93181,0.97588,0.74142,0.82837,0.46708,1.04763,0.00011332,0.00011332,0.00011332
95,1769.88,0.57664,0.31116,0.90212,0.93887,0.90311,0.97356,0.74371,0.81534,0.46288,1.04168,9.91726e-05,9.91726e-05,9.91726e-05
96,1789.39,0.58572,0.30998,0.90621,0.92257,0.93967,0.97864,0.73985,0.8334,0.45193,1.04872,8.50255e-05,8.50255e-05,8.50255e-05
97,1807.95,0.58384,0.30651,0.90878,0.91615,0.94508,0.97718,0.74649,0.80794,0.4469,1.03589,7.08784e-05,7.08784e-05,7.08784e-05
98,1825.07,0.57058,0.30284,0.89894,0.91642,0.94872,0.97771,0.734,0.84081,0.4519,1.04762,5.67313e-05,5.67313e-05,5.67313e-05
99,1842.32,0.57121,0.30308,0.91059,0.90656,0.96325,0.97693,0.74276,0.81412,0.44913,1.03979,4.25842e-05,4.25842e-05,4.25842e-05
100,1861.99,0.576,0.30327,0.90492,0.9048,0.95539,0.97626,0.75178,0.79709,0.44899,1.03489,2.84371e-05,2.84371e-05,2.84371e-05
