epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,559.833,0.84487,0.50215,1.041,0.93139,0.93235,0.97347,0.69872,1.03603,0.59962,1.11686,0.000848969,0.000848969,0.000848969
43,573.261,0.86737,0.5038,1.05338,0.9644,0.8923,0.96967,0.68628,1.02593,0.61967,1.09615,0.000834822,0.000834822,0.000834822
44,586.551,0.85921,0.50347,1.04052,0.89261,0.96318,0.97314,0.66685,1.05977,0.59965,1.12685,0.000820675,0.000820675,0.000820675
45,600.422,0.84391,0.50504,1.01899,0.95136,0.8968,0.9749,0.66979,1.05022,0.60232,1.10612,0.000806528,0.000806528,0.000806528
46,614.206,0.85268,0.49982,1.0314,0.94807,0.90501,0.95848,0.67121,1.00951,0.61149,1.09473,0.00079238,0.00079238,0.00079238
47,625.857,0.82086,0.48562,1.01941,0.93893,0.95168,0.97477,0.67806,1.05956,0.57295,1.11697,0.000778233,0.000778233,0.000778233
48,639.231,0.8299,0.48412,1.01927,0.95361,0.89277,0.97819,0.68719,1.07528,0.58953,1.11088,0.000764086,0.000764086,0.000764086
49,653.056,0.82035,0.48455,1.02349,0.8874,0.94694,0.96278,0.69192,0.99835,0.60186,1.09526,0.000749939,0.000749939,0.000749939
50,666.149,0.83362,0.48754,1.02916,0.94711,0.87785,0.96553,0.69761,0.94998,0.59261,1.0841,0.000735792,0.000735792,0.000735792
51,678.096,0.83444,0.47396,1.02743,0.91475,0.96068,0.97745,0.7017,0.93487,0.53131,1.08003,0.000721645,0.000721645,0.000721645
52,692.234,0.86076,0.49529,1.03215,0.97562,0.84671,0.97237,0.70289,0.94749,0.59259,1.07143,0.000707498,0.000707498,0.000707498
53,706.191,0.81882,0.47339,1.01775,0.96296,0.89749,0.97507,0.71388,0.92469,0.55362,1.09243,0.000693351,0.000693351,0.000693351
54,718.491,0.82453,0.47027,1.02995,0.93776,0.92316,0.97345,0.71318,0.91705,0.5371,1.06698,0.000679204,0.000679204,0.000679204
55,731.088,0.80007,0.46161,1.00893,0.97106,0.90789,0.97116,0.72575,0.84193,0.51836,1.04596,0.000665057,0.000665057,0.000665057
56,744.397,0.7918,0.46259,1.01024,0.88856,0.94684,0.96279,0.67861,1.03164,0.59019,1.11536,0.000650909,0.000650909,0.000650909
57,758.531,0.8055,0.46905,1.01346,0.91952,0.96114,0.9742,0.69522,0.98887,0.56046,1.08939,0.000636762,0.000636762,0.000636762
58,771.248,0.80597,0.4712,1.01807,0.91631,0.96061,0.98076,0.71363,0.93811,0.52758,1.06354,0.000622615,0.000622615,0.000622615
59,784.102,0.79642,0.45653,1.01367,0.95239,0.93843,0.9773,0.72715,0.87705,0.51665,1.04076,0.000608468,0.000608468,0.000608468
60,797.78,0.796,0.44784,1.00754,0.97784,0.91355,0.97619,0.73451,0.85744,0.50691,1.03733,0.000594321,0.000594321,0.000594321
61,810.677,0.79849,0.4528,1.00937,0.97466,0.91745,0.97362,0.73026,0.91925,0.51641,1.05881,0.000580174,0.000580174,0.000580174
62,823.33,0.79155,0.4549,1.01203,0.95634,0.91571,0.97367,0.72826,0.89814,0.53017,1.05006,0.000566027,0.000566027,0.000566027
63,835.158,0.78699,0.43948,1.00733,0.92413,0.92698,0.96715,0.71056,0.9044,0.54396,1.04201,0.00055188,0.00055188,0.00055188
64,848.637,0.79068,0.44765,1.00772,0.93767,0.90971,0.96043,0.70975,0.91433,0.53625,1.04631,0.000537733,0.000537733,0.000537733
65,861.789,0.78391,0.44304,1.00487,0.93729,0.90012,0.95569,0.70126,0.9001,0.55458,1.06218,0.000523586,0.000523586,0.000523586
66,874.526,0.77824,0.43251,1.00722,0.94653,0.95263,0.97965,0.73142,0.86897,0.48888,1.05527,0.000509438,0.000509438,0.000509438
67,888.684,0.7532,0.42068,0.99607,0.95117,0.92479,0.97839,0.70112,0.98072,0.52278,1.08344,0.000495291,0.000495291,0.000495291
68,902.434,0.74127,0.41782,0.99076,0.97147,0.91041,0.97547,0.69839,0.98829,0.52938,1.08303,0.000481144,0.000481144,0.000481144
69,915.332,0.76823,0.44197,1.005,0.94677,0.89219,0.95065,0.70615,0.88782,0.5615,1.04737,0.000466997,0.000466997,0.000466997
70,927.37,0.73785,0.4218,0.98072,0.95689,0.92295,0.96855,0.73904,0.81607,0.49084,1.0272,0.00045285,0.00045285,0.00045285
71,940.219,0.76442,0.42721,0.99784,0.97174,0.91594,0.97442,0.7338,0.8532,0.48235,1.04178,0.000438703,0.000438703,0.000438703
72,954.045,0.76157,0.42572,0.99344,0.9665,0.96031,0.9795,0.74158,0.858,0.47741,1.04421,0.000424556,0.000424556,0.000424556
73,966.663,0.74089,0.41479,0.9814,0.96643,0.901,0.97528,0.73548,0.85258,0.51809,1.04866,0.000410409,0.000410409,0.000410409
74,979.798,0.73886,0.41928,0.98898,0.93081,0.93754,0.96073,0.72939,0.81383,0.51471,1.02829,0.000396262,0.000396262,0.000396262
75,993.189,0.73231,0.40612,0.98831,0.96398,0.91493,0.97802,0.75664,0.78916,0.47136,1.02553,0.000382115,0.000382115,0.000382115
76,1007.32,0.73448,0.40782,0.98742,0.96076,0.90665,0.96641,0.73726,0.85307,0.4972,1.0421,0.000367967,0.000367967,0.000367967
77,1020.27,0.72917,0.40814,0.97908,0.95699,0.89396,0.97221,0.73878,0.8427,0.50365,1.04806,0.00035382,0.00035382,0.00035382
78,1032.05,0.73484,0.40465,0.98522,0.95007,0.90554,0.97383,0.73516,0.86077,0.50342,1.04927,0.000339673,0.000339673,0.000339673
